objectid,title,creator,description,format,date,subject,location,source,identifier,type,language,rights,latitude,longitude,related_publication,filename
Interview1,interview,"Khoza, S'lindokuhle & Vhuhwavho Mudzwiri",An interview representing part 1 of the assignment,mp3,2023-10-29,Entertainment,Pretoria,,,Audio,eng,Non-commercial,,,,interview.mp3
digitalborn1,email_screenshot,"Khoza, S'lindokuhle",A screenshot containing an email requesting a bursary payment,png,2023-01-06,Communication,Pretoria,University of Pretoria,,Image,eng,Non-commercial,,,,email_screenshot.png
digitalborn2,grey_minimalist_business_project_presentation_2,"Khoza, Slindokuhle and Mudzwiri, Vhuhwavho",A PowerPoint presentation evaluating the Internet Archive repository,pptx,2023-08-22,Academics,Pretoria,University of Pretoria,,PowerPoint,eng,Non-commercial,,,,grey_minimalist_business_project_presentation_2.pptx
digitalborn3,inl340_assignment_1_academic_poster,"Khoza, S'lindokuhle",An academic poster based on The HathiTrust Digital Library,pdf,2023-09-27,Academics,Pretoria,University of Pretoria,,Document,eng,Non-commercial,,,,inl340_assignment_1_academic_poster.pdf
digitalborn4,practical_2_repository,"Khoza, S'lindokuhle",A word document containing questions and answers of the features and materials of the Internet Archive repository,docx,2022-08-22,Academics,Pretoria,University of Pretoria,,Document,eng,Non-commercial,,,,practical_2 _repository.docx
digitalborn5,Q-consulting_technologies,"Khoza, Slindokuhle; Mudzwiri, Vhuhwavho; Molefane, Masetshaba; Nyathi, Sandra and Mdebuka, Qhawe",,,,,,University of Pretoria,https://universitypretoria.sharepoint.com/sites/Q-ConsultingTechnologies,Website,eng,Non-commercial,,,,
audio1,lift_me_up,"Rihanna; Tems; Coogler, Ryan and Goransson, Ludwig","A song titled, Lift Me Up by Rihanna created as a soundtrack for the marvel movie, Black Panther",mp3,2022-10-28,Music,United States,Spotify,https://open.spotify.com/track/35ovElsgyAtQwYPYnZJECg?si=8fdb9372439e4e34,Audio,eng,"Westbury Road, Roc Nation, Def Jam, and Hollywood Records",,,,
audio2,africa_toto,"Paitch, David; Porcaro, Jeff","A song titled, 'Africa Toto' by David Paitch that expresses a man's love of the continent, Afriica, and its people",mp4,1982-10-30,Music,United States,YouTube,https://Toto.lnk.to/listenYD,Video,eng,commercial use,,,,
audio3,candice_modiselle_on: pivoting_into_something_new_getting_baptized_and_having_a_deeper_relationship_with_god,"Ledwaba, Mpoomy; Candice Modiselle",A pocast episode featuring the actress Candice Modiselle as she dives deep into her journey with her relationship with God,mp3,2023-07-12, Health and Wellness,South Africa,Podcasts,https://podcasts.apple.com/za/podcast/wisdom-wellness-with-mpoomy-ledwaba/id1557108532?i=1000620852040,Audio,eng,Wisdom & Wellness,,,,
audio4,ayanda_borotho_on: being_a_young_mother_and_findin_ herself_again,"Ledwaba, Mpoomy; Ayanda Borotho","A podcast episode featuring the author and actress, Ayanda Borotho, where she gives insights into her journey as a young mother and how she found herself",mp3,2023-08-02,Health and Wellness,South Africa,Podcasts,"Wisdom & Wellness with Mpoomy Ledwaba: Ayanda Borotho ON: Being a young mother, and finding herself again on Apple Podcasts",Audio,eng,Wisdom & Wellness,,,,
